id,Question,A,B,C,D
1,Bài hát Tình ca c?a Hoàng Vi?t nói d?n mùa nào trong nam?,Mùa xuân,Mùa H?,Mùa Thu,Mùa Ðông
2,H? nào có xác máy bay B52 roi xu?ng?,H? H?u Ti?p,H? Tây,H? Trúc B?ch,H? Ng?c Khánh
3,Chuy?n bay d?u tiên lên m?t trang th?c hi?n b?ng con tàu vu tr? nào?,Apollo 11,Con thoi, Alpha 2,Gamax
4,Thân sinh c?a Ðinh B? Linh là ai?,Ðinh Công Tr?,Ðinh Li?n,Ðinh Toàn,Ðinh B? S?
5,Qu?c gia có lá qu?c k? c? nh?t th? gi?i?,Ðan M?ch,Trung Qu?c,Israel ,Hà Lan
6,Qu?c gia nào ? Châu Phi có t? l? ngu?i da tr?ng x?p x? t? l? ngu?i da den?,Nam Phi ,Marroc,Madagasca,Ai C?p 
7,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1976?,Canada,Liên Xô ,Hoa K? ,Australia
8,Bài tho dang báo d?u tiên c?a Nguy?n Bính?,Cô hái mo ,Tuong tu ,Cô lái dò ,Cô hàng xóm 
9,"Theo sách d? Vi?t Nam nam 2007, có m?y loài d?ng v?t hoang dã dã b? tuy?t ch?ng ? nu?c ta, nhung v?n còn m?t vài ? nu?c lân c?n?",5 loài ,3 loài ,4 loài ,6 loài 
10,Sarajevo là th? dô c?a qu?c gia nào?,Bosnia and Herzegovina,Bolivia,Botswana,Bolivia
11,Tháp Eiffel du?c ra d?i hoàn t?t vào nam nào?,1887 - 1889,1888 - 1889,1887 - 1890,1887 -  1891 
12,Bangladesh là nu?c d?u tiên trên th? gi?i s?n xu?t cây gì?,Cây dai ,Cây thu?c lá ,Cây lúa m?ch ,Cây trà 
13,B? câu xác d?nh phuong hu?ng b?ng cách nào?,T? Tru?ng trái d?t,Theo hu?ng m?t tr?i,Hu?ng gió,Trí nh?
14,"Trong co th? cá m?p, s? không tìm th?y v?t gì?",Xuong ,Mang cá ,Gân ,Rang 
15,Lá qu?c k? c? nh?t th? gi?i thu?c v? qu?c gia nào?,Ðan M?ch,Thu? Ði?n,Ph?n Lan ,Ai C?p
16,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1972?,Tây Ð?c,Canada,Liên Xô ,Trung Qu?c
17,Ngu?i Singapore r?t k? câu chúc nào?,Chúc phát tài,Chúc may m?n,Chúc s?c kho?,Chúc chóng l?n
18,Thành ph? nào dông dân nh?t bán d?o Trung ?n?,Bang C?c ,Rangon ,Thimpu,Niu Deli 
19,Gaborone là th? dô c?a qu?c gia nào?,Botswana,Brazil,Belarus,Bangladesh
20,Cu?c v?n lý tru?ng chinh c?a H?ng Quân Trung Qu?c dã di bao nhiêu km?,12.000km,13.000km,14.000km,15.000km
21,"Tính d?n nam 2013, chi?c bánh m? dài nh?t th? gi?i ? Vi?t Nam dài bao nhiêu?",111m,110m,112m,113m
22,Agatha n? si ngu?i Anh chuyên vi?t truy?n v? th? lo?i gì?,Trinh thám ,Vi?n Tu?ng,Tình c?m ,T? s? 
23,Thành ph? nào sau dây luôn luôn vào gi?a trua th?y m?t tr?i ? phía Nam?,Mát-x-co-va,Hà N?i ,Bang C?c ,Sydney 
24,"Âm nh?c th? k? 17, d?u th? k? 18 du?c g?i là Baroque, tên này du?c l?y t? dâu?",Tên m?t phong cách ki?n trúc,Tên m?t d?a danh,Tên m?t nhà so?n nh?c,Tên m?t ph? n?
25,Dân t?c nào ? Vi?t Nam có dân s? th?p nh?t hi?n nay?,Odu ,Brau,Co ,Sila 
26,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1968?,Mexico ,Tây Ð?c,Liên Xô ,Hy L?p 
27,Biên gi?i t? nhiên gi?a Isarel và Jordani là gì?,Con sông,Sa m?c,Dãy núi ,Bi?n 
28,Khu v?c có m?t d? dân s? cao nh?t châu Á là?,Nam Á ,Ðông Á ,Ðông Nam Á ,Tây Nam Á 
29,Thành ph? nào ? nu?c ta có s?n lu?ng y?n sào nhi?u nh?t?,Khánh Hoà ,Bình Thu?n ,Qu?ng Nam ,Bà R?a  Vung Tàu 
30,Bandar Seri Begawan là th? dô c?a qu?c gia nào?,Brunei,Brazil,Bolivia,Bangladesh
31,"Ð?u tuong, l?c, thu?c lá du?c tr?ng nhi?u nh?t trên lo?i d?t nào?",Ð?t b?c màu ,Ð?t nhi?m m?n ,Ð?t phù sa,Ð?t xám 
32,Th?i Ti?n Lê trong l?ch s? Vi?t Nam do ai l?p nên?,Lê Hoàn ,Lê L?i ,Lê Thái T? ,Lê Thánh Tông 
33,Ðu?ng xích d?o ch?y qua bao nhiêu qu?c gia?,12,13,14,15
34,Vi?t Nam tr? thành thành viên c?a Liên H?p Qu?c vào nam nào?,1976,1974,1975,1977
35,Hi?p u?c nào ch?m d?t chi?n tranh th? gi?i th? hai?,Versailles,Warsaw,Paris,Geneve
36,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1964?,Nh?t B?n ,Mexico ,Canada,Liên Xô 
