id,Questions,A,B,C ,D
1,Muay Thái là tên c?a?,M?t môn võ,M?t món an,M?t dòng di?n tho?i,M?t m?ng xã h?i
2,Thuong hi?u nào sau dây không cung c?p d?ch v? di?n toán dám mây?,Honda,Google,Amazon,Microsoft
3,M4A1 là tên c?a th? nào sau dây?,Súng tru?ng,Smartphone,Máy tính b?ng,Xe hoi
4,T?ng th?ng Barrack Obama là t?ng th?ng th? bao nhiêu c?a M??,44,2,7,15
5,T?ng th?ng Barrack Obama d?n tham và làm vi?c t?i Vi?t Nam vào nam?,2016,2015,2014,2013
6,Ðâu không ph?i là m?t s?n ph?m c?a Microsoft?,Gà rán,Máy choi game Xbox,H? di?u hành Window,Công c? tìm ki?m Bing
7,Bóng chày là b? môn r?t ph? bi?n t?i qu?c gia nào?,M?,Vi?t Nam,Thái Lan,Philippines
8,Môn th? thao nào có s? d?ng g?y d? làm d?ng c? choi?,Bóng chày,Bóng dá,Bóng chuy?n,Bóng r?
9,"Ford, Honda, Mecerdes là các hãng n?i ti?ng v?…?",Ô tô,Xe d?p,Xe máy,Máy bay
10,Ðâu không ph?i là tên m?t hãng xe?,iPhone,Honda,Toyota,Ford
11,Nói d?n Nokia là nói d?n s?n ph?m gì?,Ði?n tho?i,Tivi,Ði?u hòa,Máy gi?t
12,Apple dã s?n xu?t lo?i máy nghe nh?c nào?,iPod,iPhone,Walkman,Sony
13,Hi-tech là nói d?n công ngh? gì?,Công ngh? cao,Công ngh? m?i,Công ngh? th?p,Công ngh? lâu d?i
14,T? Hi trong t? Hi-tech là vi?t t?t c?a t?…?,High,Hit,Hill,Hight
15,Nói d?n di?n tho?i là nói d?n linh v?c gì?,Công ngh?,Van hóa,Chính tr?,Xã h?i
16,Android là h? di?u hành c?a hãng nào?,Google,Apple,Microsoft,IBM
17,T?p tin ?nh thu?ng có d?nh d?ng nào?,JPEG,Doc,Mp4,PDF
18,Phuong ti?n dùng d? bay vào vu tr??,Tàu vu tr?,Ô tô,Kinh khí c?u,Máy bay
19,Dell là thuong hi?u n?i ti?ng v? s?n ph?m?,Ð? di?n t?,Ð? gia d?ng,Ð? choi,Ð? di?n l?nh
20,Ð?ng co xe máy thu?ng có m?y kì?,4,5,6,7
